#RefugeeRights
#ImmigrationReform
#TighterImmigration
#CivilRights
#WomensRights
#BlueCollarJobs
#BlackLives
#BlueLives
#NetNeutrality
#BigBusiness
#HonestGovernment
#HigherWages
#GenderEquality
#SmallBusiness
#TaxReform
#UniversalHealthcare
